scenario_id,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,actions,actions_used,tau_s,epsilon,rep,method,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,avg_cost,violation_rate,violations_first_100,violations_last_100,violations_after_switch,after_switch_k,violations_first_after_switch_k,safe_set_empty_rate,safe_set_size_mean,filter_margin,filter_prior_weight,filter_reset_on_switch,distinct_actions_pulled,regret_vs_oracle,pull_100,pull_500,pull_1000,pull_2000
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,9,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1093.7281500397476,0.055,11.0,6.0,,50,,,,,,,4,3659.484623225173,1,1,997,1
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,9,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1090.0686654165224,0.055,11.0,6.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,9,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1090.0686654165224,0.055,11.0,6.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,9,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3336.378820815949,0.007,0.0,1.0,,50,,0.023,0.977,0.0,1.0,0,1,2246310.1553994264,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,10,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3385.7292134557024,0.002,1.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2290170.968071229,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,10,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1096.8287636090831,0.058,8.0,4.0,,50,,,,,,,3,1270.518224609783,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,10,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1096.7586361361969,0.058,8.0,4.0,,50,,,,,,,4,1200.390751723433,1,1,997,1
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,10,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1095.5582453844734,0.058,8.0,4.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,10,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1095.5582453844734,0.058,8.0,4.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,10,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3386.880712226065,0.002,1.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2291322.4668415915,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,11,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3288.8700052722593,0.003,0.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2203368.19971105,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,11,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1089.2117901940624,0.051,7.0,5.0,,50,,,,,,,3,3709.98463285272,2,1,997,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,11,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1089.3451632701585,0.051,7.0,5.0,,50,,,,,,,4,3843.357708948897,2,1,995,2
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,11,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1085.5018055612095,0.051,7.0,5.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,11,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1085.5018055612095,0.051,7.0,5.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,11,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3294.365577208091,0.003,0.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2208863.7716468815,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,12,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3397.7755352040786,0.003,1.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2300289.852328878,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,12,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1100.237543218838,0.051,7.0,2.0,,50,,,,,,,3,2751.8603436371777,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,12,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1080.165646724324,0.433,43.0,37.0,,50,,,,,,,4,-17320.0361508769,1,1,1,997
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,12,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1097.4856828752008,0.051,7.0,2.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,12,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1097.4856828752008,0.051,7.0,2.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,12,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3404.6123491499948,0.003,1.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2307126.6662747934,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,13,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3397.9913658420774,0.01,1.0,3.0,,50,,0.041123370110330994,0.958876629889669,,,,3,2300759.7999452055,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,13,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1100.4617330118938,0.07,6.0,7.0,,50,,,,,,,3,3230.1671150219627,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,13,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1080.6317018330853,0.454,42.0,40.0,,50,,,,,,,4,-16599.864063786343,1,1,9,989
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,13,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1097.2315658968716,0.07,6.0,7.0,,50,,,,,,,1,0.0,0,0,1000,0
