ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
55650,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55661,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55670,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55680,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
55690,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55700,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
55710,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55720,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55730,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55740,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55750,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
55760,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55770,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
55780,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55790,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55800,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55810,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
55820,4792,210800,1010.2,TXSD_UCCS_D4B_SCAN70_v1
55830,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
55840,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55850,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55860,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55870,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
55880,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
55890,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55900,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
55910,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55920,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55930,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55940,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55950,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55960,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
55970,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55980,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55990,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
56000,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56010,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
56020,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
56030,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
56040,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
56050,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
56060,4924,56100,276.2,TXSD_UCCS_D4B_SCAN70_v1
56070,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
56080,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
56090,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
56100,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
