prog_id,ms,mV,uA,p_mW
# meta, firmware=TXSD_DeltaE_V3_OFF, program_id=TXSD_DELTAE_V3_OFF_20260114, trial_index=auto, adv_interval_ms=0
TXSD_DELTAE_V3_OFF_20260114,3531,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3541,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,3551,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,3561,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3571,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3581,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,3591,3156,51600,162.8
TXSD_DELTAE_V3_OFF_20260114,3601,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3611,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,3621,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3631,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3641,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3651,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,3661,3156,50900,160.6
TXSD_DELTAE_V3_OFF_20260114,3671,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,3681,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3691,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3701,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3711,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,3721,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3731,3160,51500,162.7
TXSD_DELTAE_V3_OFF_20260114,3741,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,3751,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3761,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,3771,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3781,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3791,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3801,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,3811,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3821,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,3831,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3841,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3851,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,3861,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,3871,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,3881,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,3891,3156,51800,163.5
