scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,avg_energy_uJ_event,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,41,ucb,12587.159862700288,0.001,1.0,27305.641635114327
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,41,fixed_ccs,17848.585492940565,0.108,8.0,5288731.271875391
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,41,oracle,12559.854221065172,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,42,safe_ucb,12502.136759436873,0.002,2.0,27457.294266566634
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,42,ucb,12502.136759436873,0.002,2.0,27457.294266566634
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,42,fixed_ccs,17750.596270761056,0.118,10.0,5275916.805590751
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,42,oracle,12474.679465170308,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,43,safe_ucb,12509.597291102997,0.001,1.0,26800.44530635327
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,43,ucb,12509.597291102997,0.001,1.0,26800.44530635327
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,43,fixed_ccs,17759.93490408438,0.118,15.0,5277138.058287738
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,43,oracle,12482.796845796644,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,44,safe_ucb,12734.846966053316,0.001,1.0,27214.69672513008
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,44,ucb,12734.846966053316,0.001,1.0,27214.69672513008
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,44,fixed_ccs,18018.596617156447,0.125,14.0,5310964.34782826
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,44,oracle,12707.632269328185,0.0,0.0,0.0
