scenario_id,env_id,switch_env_id,switch_at,tau_s,epsilon,after_switch_k,rep,method,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,avg_cost,violation_rate,violations_after_switch,violations_first_after_switch_k,filter_margin,filter_prior_weight,filter_reset_on_switch,pull_100,pull_500
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,8,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3378.6113898078393,0.044,10.0,2.0,,,,999,1
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,8,filter_ucb_online_w0_m0_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,2454.6964271157462,0.055,12.0,4.0,0.0,0.0,1,495,505
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,8,filter_ucb_online_w0_m0.005_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,2454.6964271157462,0.055,12.0,4.0,0.005,0.0,1,495,505
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,8,filter_ucb_online_w0_m0.01_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,2454.6964271157462,0.055,12.0,4.0,0.01,0.0,1,495,505
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,8,filter_ucb_online_w0_m0.015_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3382.2971197760726,0.044,10.0,2.0,0.015,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,8,filter_ucb_online_w0_m0.02_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3382.2971197760726,0.044,10.0,2.0,0.02,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1512.32644249175,0.097,47.0,5.0,,,,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1512.32644249175,0.097,47.0,5.0,,,,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1509.4408246953542,0.097,47.0,5.0,,,,0,1000
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3334.900095543915,0.048,10.0,1.0,,,,999,1
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,filter_ucb_online_w0_m0_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,2393.669443416191,0.085,47.0,5.0,0.0,0.0,1,499,501
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,filter_ucb_online_w0_m0.005_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,2393.669443416191,0.085,47.0,5.0,0.005,0.0,1,499,501
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,filter_ucb_online_w0_m0.01_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,2393.669443416191,0.085,47.0,5.0,0.01,0.0,1,499,501
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,filter_ucb_online_w0_m0.015_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3336.378820815949,0.047,10.0,1.0,0.015,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,9,filter_ucb_online_w0_m0.02_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3336.378820815949,0.047,10.0,1.0,0.02,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,10,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1519.3301232019803,0.093,49.0,10.0,,,,1,999
