rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_020.csv,P,1603,5,1,0.046,0,1603,-165.0
rx_trial_020.csv,P,1614,1,2,0.203,0,1616,-165.0
rx_trial_020.csv,P,1627,2,8,0.046,0,1627,-165.0
rx_trial_020.csv,P,1678,8,1,0.07,0,1679,-165.0
rx_trial_020.csv,P,1697,1,2,0.258,0,1700,-165.0
rx_trial_020.csv,P,1701,2,1,0.164,0,1703,-165.0
rx_trial_020.csv,P,1766,1,3,0.181,0,1768,-165.0
rx_trial_021.csv,U,13,1,0,0.243,0,15,-150.0
rx_trial_021.csv,U,88,0,6,0.067,0,89,-150.0
rx_trial_021.csv,U,91,6,7,0.301,0,94,-150.0
rx_trial_021.csv,U,97,7,11,0.02,0,97,-150.0
rx_trial_021.csv,U,120,11,10,0.272,0,123,-150.0
rx_trial_021.csv,U,245,10,6,0.072,0,246,-150.0
rx_trial_021.csv,U,338,6,7,0.174,0,340,-150.0
rx_trial_021.csv,U,362,7,11,0.088,0,363,-150.0
rx_trial_021.csv,U,376,11,4,0.366,0,380,-150.0
rx_trial_021.csv,U,429,4,10,0.176,0,431,-150.0
rx_trial_021.csv,U,605,10,3,0.072,0,606,-150.0
rx_trial_021.csv,U,615,3,7,0.226,0,617,-150.0
rx_trial_021.csv,U,642,7,3,0.24,0,644,-150.0
rx_trial_021.csv,U,680,3,9,0.127,0,681,-150.0
rx_trial_021.csv,U,714,9,8,0.008,0,714,-150.0
rx_trial_021.csv,U,724,8,7,0.134,0,725,-150.0
rx_trial_021.csv,U,775,7,0,0.178,0,777,-150.0
rx_trial_021.csv,U,796,0,7,0.183,0,798,-150.0
rx_trial_021.csv,U,858,7,4,0.074,0,859,-150.0
rx_trial_021.csv,U,963,4,6,0.292,0,966,-150.0
rx_trial_021.csv,U,1035,6,5,0.385,0,1039,-150.0
rx_trial_021.csv,U,1055,5,9,0.394,0,1059,-150.0
rx_trial_021.csv,U,1087,9,2,0.03,0,1087,-150.0
rx_trial_021.csv,U,1128,2,9,0.124,0,1129,-150.0
rx_trial_021.csv,U,1130,9,4,0.239,0,1132,-150.0
rx_trial_021.csv,U,1224,4,9,0.272,0,1227,-150.0
rx_trial_021.csv,U,1282,9,0,0.071,0,1283,-150.0
rx_trial_021.csv,U,1299,0,9,0.158,0,1301,-150.0
rx_trial_021.csv,U,1404,9,7,0.176,0,1406,-150.0
rx_trial_021.csv,U,1410,7,2,0.102,0,1411,-150.0
rx_trial_021.csv,U,1414,2,8,0.128,0,1415,-150.0
rx_trial_021.csv,U,1458,8,6,0.249,0,1460,-150.0
rx_trial_021.csv,U,1523,6,11,0.068,0,1524,-150.0
rx_trial_021.csv,U,1581,11,5,0.073,0,1582,-150.0
rx_trial_021.csv,U,1603,5,1,0.283,0,1606,-150.0
rx_trial_021.csv,U,1614,1,2,0.016,0,1614,-150.0
rx_trial_021.csv,U,1627,2,8,0.275,0,1630,-150.0
rx_trial_021.csv,U,1678,8,1,0.177,0,1680,-150.0
rx_trial_021.csv,U,1697,1,2,0.032,0,1697,-150.0
rx_trial_021.csv,U,1701,2,1,0.272,0,1704,-150.0
rx_trial_021.csv,U,1766,1,3,0.281,0,1769,-150.0
rx_trial_024.csv,P,13,1,0,0.02,0,13,-104.0
rx_trial_024.csv,P,88,0,6,0.001,0,88,-104.0
rx_trial_024.csv,P,91,6,7,0.084,0,92,-104.0
rx_trial_024.csv,P,97,7,11,0.107,0,98,-104.0
rx_trial_024.csv,P,120,11,10,0.231,0,122,-104.0
