ms,mv,uA,p_mW
5998,3304,77#00,255,0.3
6008,3304,76'00,253,0.3
6018,3304,76"00,252,0.3
6028,3304,76800,254,253.7
6038,3304,74$00,246,0.2
6048,3304,76'00,253,0.3
6058,3304,72&00,240,0.2
6068,3304,77"00,255,0.3
6078,3304,70&00,233,0.2
6088,3304,77$00,256,0.3
6098,3304,76'00,253,0.3
6108,3304,75900,251,250.8
6118,3304,76800,254,253.7
6128,3304,74$00,246,0.2
6138,3304,76800,254,253.7
6148,3304,71%00,236,0.2
6158,3304,77#00,255,0.3
6168,3304,70#00,232,0.2
6178,3304,77#00,255,0.3
6188,3304,76800,254,253.7
6198,3304,75!00,248,0.2
6208,3304,76'00,253,0.3
6218,3304,74#00,245,0.2
6228,3304,76900,254,254.1
6238,3304,70900,234,234.3
6248,3304,77#00,255,0.3
6258,3304,69800,231,230.6
6268,3304,77 00,254,0.3
6278,3304,76'00,253,0.3
6288,3304,74900,247,247.5
6298,3304,76'00,253,0.3
6308,3304,74$00,246,0.2
6318,3304,77"00,255,0.3
6328,3304,70&00,233,0.2
6338,3304,77#00,255,0.3
6348,3304,76800,254,253.7
6358,3304,76&00,253,0.3
6368,3304,76'00,253,0.3
6378,3304,74%00,246,0.2
6388,3304,76800,254,253.7
6398,3304,73'00,244,0.2
6408,3304,77#00,255,0.3
6418,3304,70&00,233,0.2
6428,3304,77#00,255,0.3
6438,3304,76800,254,253.7
6540,3300,76#00,252,0.3
6541,3304,76800,254,253.7
6541,3304,74%00,246,0.2
6541,3304,76800,254,253.7
6542,3304,72800,241,240.5
6542,3304,77#00,255,0.3
6542,3304,70&00,233,0.2
6543,3304,77#00,255,0.3
6543,3304,76800,254,253.7
6544,3304,75900,251,250.8
6548,3300,76'00,253,0.3
6558,3304,74$00,246,0.2
6568,3304,76'00,253,0.3
6578,3304,71'00,237,0.2
6588,3304,77#00,255,0.3
6598,3304,70$00,233,0.2
6608,3304,77#00,255,0.3
6618,3304,76800,254,253.7
6628,3304,75#00,249,0.2
6638,3304,76'00,253,0.3
6648,3304,74$00,246,0.2
6658,3304,76800,254,253.7
6668,3304,71 00,235,0.2
6678,3304,77#00,255,0.3
6688,3304,69900,231,230.9
6698,3304,77!00,255,0.3
6708,3304,76800,254,253.7
6718,3304,75 00,248,0.2
6728,3304,76800,254,253.7
6738,3308,74$00,246,0.2
6748,3304,77!00,255,0.3
6758,3304,70'00,234,0.2
6768,3304,77"00,255,0.3
6778,3304,76'00,253,0.3
6788,3304,76&00,253,0.3
6798,3304,76'00,253,0.3
6808,3304,74&00,246,0.2
6818,3304,76'00,253,0.3
6828,3304,73900,244,244.2
6838,3304,77"00,255,0.3
6848,3304,70&00,233,0.2
6858,3304,77$00,256,0.3
6868,3304,76'00,253,0.3
6878,3304,76300,252,252.1
6888,3304,76800,254,253.7
6898,3304,74$00,246,0.2
6908,3304,76'00,253,0.3
6918,3304,72900,241,240.9
6928,3304,77"00,255,0.3
6938,3304,70%00,233,0.2
6948,3304,77#00,255,0.3
6958,3304,76'00,253,0.3
6968,3304,76 00,251,0.3
6978,3304,76'00,253,0.3
6988,3304,74#00,245,0.2
6998,3304,76'00,253,0.3
7008,3304,71900,238,237.6
7018,3304,77#00,255,0.3
7028,3304,70$00,233,0.2
7038,3304,77#00,255,0.3
7048,3304,76'00,253,0.3
7058,3304,75$00,249,0.2
7068,3304,76'00,253,0.3
7078,3304,74$00,246,0.2
7088,3304,76800,254,253.7
7098,3304,71"00,235,0.2
7108,3304,77$00,256,0.3
7118,3304,69900,231,230.9
7128,3304,77#00,255,0.3
7138,3304,76'00,253,0.3
7148,3304,75 00,248,0.2
7158,3304,76'00,253,0.3
7168,3304,74$00,246,0.2
7178,3300,77 00,254,0.3
7188,3304,70800,234,233.9
7198,3304,77$00,256,0.3
7208,3304,76'00,253,0.3
7218,3304,76&00,253,0.3
7228,3304,76'00,253,0.3
7238,3304,74&00,246,0.2
7248,3304,76'00,253,0.3
7258,3304,74!00,245,0.2
7268,3304,77"00,255,0.3
7278,3304,70'00,234,0.2
7288,3304,77$00,256,0.3
7298,3300,76800,253,253.4
7308,3304,76#00,252,0.3
7318,3304,76800,254,253.7
7328,3304,74%00,246,0.2
7338,3304,76'00,253,0.3
7348,3304,73"00,242,0.2
7358,3304,77"00,255,0.3
7368,3304,70&00,233,0.2
7378,3304,77$00,256,0.3
7388,3304,76'00,253,0.3
7398,3304,76!00,251,0.3
7408,3304,76'00,253,0.3
7418,3304,74$00,246,0.2
7428,3304,76'00,253,0.3
7438,3304,72"00,239,0.2
7448,3304,77#00,255,0.3
7458,3304,70%00,233,0.2
7468,3304,77#00,255,0.3
7478,3304,76800,254,253.7
7488,3304,75&00,250,0.2
7498,3304,76'00,253,0.3
7508,3304,74$00,246,0.2
7518,3304,76'00,253,0.3
7528,3304,71#00,236,0.2
7538,3304,77#00,255,0.3
7548,3304,70 00,231,0.2
7558,3304,77#00,255,0.3
7568,3304,76800,254,253.7
7578,3304,75 00,248,0.2
7588,3304,76'00,253,0.3
7598,3304,74#00,245,0.2
7608,3304,77 00,254,0.3
7618,3304,70800,234,233.9
7628,3304,77#00,255,0.3
7638,3304,76'00,253,0.3
7648,3304,76800,254,253.7
7658,3304,76'00,253,0.3
7668,3304,74'00,247,0.2
7678,3304,76800,254,253.7
7688,3304,74#00,245,0.2
7698,3304,77!00,255,0.3
7708,3304,70&00,233,0.2
7718,3304,77"00,255,0.3
7728,3304,76'00,253,0.3
7738,3304,76$00,252,0.3
7748,3304,76800,254,253.7
7758,3304,74%00,246,0.2
7768,3304,76800,254,253.7
7778,3304,73$00,243,0.2
7788,3304,77"00,255,0.3
7798,3304,70'00,234,0.2
7808,3304,77#00,255,0.3
7818,3304,76800,254,253.7
7828,3304,76"00,252,0.3
7838,3304,76'00,253,0.3
7848,3304,74$00,246,0.2
7858,3304,76'00,253,0.3
7868,3304,72$00,239,0.2
7878,3304,77#00,255,0.3
7888,3304,70%00,233,0.2
7898,3304,77#00,255,0.3
7908,3304,76'00,253,0.3
7918,3304,75'00,250,0.2
7928,3300,76'00,253,0.3
7938,3304,74$00,246,0.2
7948,3304,76'00,253,0.3
7958,3304,71$00,236,0.2
7968,3304,77#00,255,0.3
7978,3304,70"00,232,0.2
7988,3304,77#00,255,0.3
7998,3304,76'00,253,0.3
8008,3304,75!00,248,0.2
8018,3304,76'00,253,0.3
8028,3304,74#00,245,0.2
8038,3304,77 00,254,0.3
8048,3304,71 00,235,0.2
8058,3304,77#00,255,0.3
8068,3304,76800,254,253.7
8078,3304,77 00,254,0.3
8088,3304,76'00,253,0.3
8098,3304,74800,247,247.1
8108,3304,76'00,253,0.3
8118,3304,74$00,246,0.2
8128,3304,77!00,255,0.3
8138,3304,70800,234,233.9
8148,3304,77#00,255,0.3
8158,3304,76800,254,253.7
8168,3304,76%00,253,0.3
8178,3304,76'00,253,0.3
8188,3304,74%00,246,0.2
8198,3304,76800,254,253.7
8208,3304,73&00,243,0.2
8218,3304,77#00,255,0.3
8228,3304,70&00,233,0.2
8238,3304,77$00,256,0.3
8248,3304,76'00,253,0.3
8258,3304,76"00,252,0.3
8268,3304,76700,253,253.4
8278,3304,74$00,246,0.2
8288,3304,76800,254,253.7
8298,3304,72&00,240,0.2
8308,3304,77$00,256,0.3
8318,3304,70&00,233,0.2
8328,3304,77$00,256,0.3
8338,3304,76800,254,253.7
8348,3304,75800,250,250.4
8358,3304,76'00,253,0.3
8368,3304,74$00,246,0.2
8378,3304,76800,254,253.7
8388,3304,71&00,237,0.2
8398,3304,77#00,255,0.3
8408,3304,70#00,232,0.2
8418,3304,77$00,256,0.3
8428,3304,76'00,253,0.3
8438,3304,75"00,248,0.2
8448,3304,76'00,253,0.3
8458,3304,74$00,246,0.2
8468,3304,76900,254,254.1
8478,3304,71 00,235,0.2
8488,3304,77#00,255,0.3
8498,3304,69800,231,230.6
8508,3304,77 00,254,0.3
8518,3304,76'00,253,0.3
8528,3304,74900,247,247.5
8538,3304,76'00,253,0.3
8548,3304,74#00,245,0.2
8558,3304,77!00,255,0.3
8568,3304,70800,234,233.9
8578,3304,77$00,256,0.3
8588,3304,76'00,253,0.3
8598,3304,76%00,253,0.3
8608,3304,76800,254,253.7
8618,3300,74&00,246,0.2
8628,3304,76'00,253,0.3
8638,3304,73900,244,244.2
8648,3304,77"00,255,0.3
8658,3304,70'00,234,0.2
8668,3304,77#00,255,0.3
8678,3304,76'00,253,0.3
8688,3304,76#00,252,0.3
8698,3304,76'00,253,0.3
8708,3304,74$00,246,0.2
8718,3304,76'00,253,0.3
8728,3304,72900,241,240.9
8738,3304,77#00,255,0.3
8748,3304,70&00,233,0.2
8758,3304,77#00,255,0.3
8768,3304,76'00,253,0.3
8778,3304,75900,251,250.8
8788,3304,76'00,253,0.3
8798,3304,74$00,246,0.2
8808,3304,76800,254,253.7
8818,3304,71900,238,237.6
8828,3304,77$00,256,0.3
8838,3304,70$00,233,0.2
