ms,voltage,current,power
5308,3.304,58.7,193.0
5319,3.304,59.6,197.0
5322,3.304,59.1,195.0
5328,3.296,58.0,192.0
5331,3.296,59.8,197.0
5334,3.304,59.4,197.0
5337,3.304,59.0,195.0
5343,3.296,59.5,197.0
5346,3.296,59.7,197.0
5349,3.304,59.5,197.0
5352,3.304,58.4,193.0
5367,3.304,59.3,195.0
5382,3.304,59.6,197.0
5384,3.296,59.7,197.0
5393,3.304,59.9,198.0
5399,3.296,59.3,195.0
5405,3.304,59.2,195.0
5408,3.304,59.1,195.0
5414,3.296,58.9,193.0
5420,3.300,58.6,193.0
5423,3.304,58.1,192.0
5429,3.296,59.4,195.0
5435,3.304,59.5,197.0
5438,3.304,58.0,192.0
5452,3.304,58.8,195.0
5467,3.304,59.6,197.0
5476,3.304,59.7,197.0
5491,3.304,59.7,197.0
5494,3.304,59.0,195.0
5497,3.304,66.3,198.0
5500,3.296,58.9,195.0
5506,3.304,59.5,197.0
5509,3.304,58.3,192.0
5520,3.304,59.5,197.0
5523,3.304,59.0,195.0
5529,3.296,58.4,193.0
5532,3.296,59.7,197.0
5535,3.304,59.8,198.0
5538,3.304,58.8,193.0
5544,3.296,59.6,198.0
5547,3.296,59.6,197.0
5553,3.304,59.0,195.0
5562,3.304,59.7,197.0
5568,3.304,59.3,195.0
5580,3.304,59.6,197.0
5586,3.296,59.3,195.0
5594,3.304,59.5,197.0
5600,3.296,58.0,192.0
5606,3.304,59.1,195.0
5609,3.304,59.0,195.0
5615,3.296,58.6,193.0
5621,3.304,58.9,195.0
5624,3.304,58.4,193.0
5636,3.304,59.8,198.0
5639,3.304,58.1,192.0
5654,3.304,59.6,197.0
5677,3.304,59.6,197.0
5692,3.304,59.3,197.0
5695,3.300,58.3,192.0
5701,3.296,58.9,193.0
5707,3.304,58.9,195.0
5710,3.304,58.0,192.0
5716,3.296,58.8,195.0
5724,3.304,58.5,193.0
5730,3.296,58.7,195.0
5733,3.296,59.8,198.0
5739,3.304,58.8,195.0
5748,3.304,59.5,197.0
5754,3.308,59.5,197.0
5769,3.304,59.6,197.0
5772,3.296,59.9,198.0
5781,3.304,59.3,197.0
5787,3.296,58.4,193.0
5795,3.304,59.2,195.0
5801,3.296,58.1,192.0
5807,3.304,59.2,195.0
5810,3.304,58.7,193.0
5816,3.296,58.9,195.0
5819,3.296,59.8,198.0
5822,3.304,58.9,195.0
5825,3.304,58.5,193.0
5834,3.304,59.9,198.0
5840,3.304,58.7,193.0
5855,3.304,59.3,197.0
5869,3.304,59.5,197.0
5878,3.304,59.5,197.0
5893,3.304,59.7,197.0
5896,3.304,59.3,197.0
5902,3.296,59.4,197.0
5908,3.304,59.2,195.0
5911,3.300,58.1,192.0
5917,3.292,58.4,193.0
5923,3.304,59.8,197.0
5926,3.304,58.5,193.0
5931,3.296,58.3,193.0
5940,3.304,58.9,195.0
5946,3.296,59.3,195.0
5949,3.296,59.6,197.0
5955,3.304,59.4,197.0
5964,3.304,59.7,197.0
5970,3.304,59.7,197.0
5982,3.304,59.4,197.0
5988,3.296,59.3,197.0
5997,3.304,59.6,197.0
6002,3.296,58.2,192.0
6008,3.304,59.4,197.0
6011,3.304,58.9,195.0
6017,3.296,58.3,192.0
6020,3.296,59.8,198.0
6023,3.304,58.7,193.0
6026,3.304,58.7,193.0
6032,3.296,59.7,198.0
6038,3.304,59.1,195.0
6041,3.304,58.0,192.0
6056,3.304,59.0,195.0
6070,3.304,59.7,197.0
6094,3.304,59.6,197.0
6097,3.304,59.2,195.0
6103,3.296,59.2,195.0
6109,3.304,59.0,195.0
6112,3.304,58.2,192.0
6118,3.296,58.9,195.0
6124,3.304,59.9,198.0
6127,3.304,58.1,192.0
6133,3.296,58.6,195.0
6141,3.304,58.9,195.0
6147,3.296,60.0,198.0
6150,3.304,59.6,197.0
6156,3.308,59.1,195.0
6165,3.304,59.6,197.0
6183,3.304,59.5,197.0
6189,3.296,59.2,197.0
6198,3.304,58.8,193.0
6203,3.296,58.2,192.0
6209,3.304,59.7,197.0
6212,3.300,59.0,195.0
6218,3.296,58.2,192.0
6221,3.296,59.8,198.0
6224,3.304,59.0,195.0
6227,3.304,59.1,195.0
6233,3.296,59.7,195.0
6236,3.296,59.9,198.0
6239,3.304,59.7,197.0
6242,3.304,58.4,193.0
6257,3.304,59.2,195.0
6271,3.304,59.8,198.0
6274,3.296,59.8,197.0
6283,3.304,59.5,197.0
6289,3.296,58.7,193.0
6295,3.304,59.0,195.0
6298,3.304,58.9,195.0
6304,3.296,58.9,195.0
6310,3.304,58.7,193.0
6319,3.296,59.4,198.0
6325,3.304,59.6,197.0
6328,3.304,58.0,192.0
6342,3.304,58.9,195.0
6351,3.304,59.8,198.0
6366,3.304,59.5,197.0
6369,3.304,59.7,197.0
6381,3.304,59.6,197.0
