subject_id,alpha,W,n_windows,ccs_mean,ccs_std,s_mean,s_std,switches,switch_rate,share_100,share_500,share_2000
03_ccs,0.7,7,698,0.8986655055259927,0.13763314373016,0.9668440442079411,0.09946955185898165,90,0.12893982808022922,0.18911174785100288,0.1346704871060172,0.6762177650429799
04_ccs,0.7,7,697,0.8789439085878256,0.16600624704405145,0.9717155154744824,0.08635362908552002,53,0.07604017216642754,0.2783357245337159,0.05164992826398852,0.6700143472022956
05_ccs,0.7,7,669,0.9253296967755713,0.11440528613669303,0.9897501601537475,0.044376943709126385,49,0.07324364723467862,0.15246636771300448,0.10014947683109118,0.7473841554559043
06_ccs,0.7,7,634,0.8982874876070303,0.14404845835053035,0.989184317260027,0.04408118705953124,17,0.026813880126182965,0.2476340694006309,0.028391167192429023,0.7239747634069401
07_ccs,0.7,7,670,0.8809112686567163,0.1440385660260498,0.991044776119403,0.038777843083357744,49,0.07313432835820896,0.28059701492537314,0.09402985074626866,0.6253731343283582
08_ccs,0.7,7,659,0.8703853240841103,0.1934771938659316,0.9401690873618036,0.12523016829313274,26,0.03945371775417299,0.25796661608497723,0.03945371775417299,0.7025796661608498
09_ccs,0.7,7,677,0.8980602152352818,0.1385917857576279,0.9936695505380881,0.029398560045356584,38,0.056129985228951254,0.21122599704579026,0.0915805022156573,0.6971935007385525
10_ccs,0.7,7,666,0.861026522951523,0.14420200561974927,0.9523809523809524,0.14285714285714282,64,0.0960960960960961,0.33183183183183185,0.12162162162162163,0.5465465465465466
01_ccs,0.8,3,694,0.8249559654178675,0.21269184250384376,0.9567723342939481,0.13529330944444382,80,0.11527377521613832,0.3270893371757925,0.13256484149855907,0.5403458213256485
02_ccs,0.8,3,704,0.8570997348484849,0.16594786421891242,0.9441287878787878,0.15191412905191362,71,0.10085227272727272,0.3565340909090909,0.06960227272727272,0.5738636363636364
03_ccs,0.8,3,698,0.890399312320917,0.1543267472208654,0.9742120343839542,0.10542612971573354,92,0.1318051575931232,0.2034383954154728,0.10888252148997135,0.6876790830945558
04_ccs,0.8,3,697,0.8669479100908656,0.1840554605449147,0.9780009564801532,0.09695189700185895,57,0.08177905308464849,0.28694404591104733,0.04591104734576758,0.667144906743185
05_ccs,0.8,3,669,0.916582321873443,0.1304343745585904,0.9920279023418038,0.05708023315045216,47,0.07025411061285501,0.17189835575485798,0.07922272047832586,0.7488789237668162
06_ccs,0.8,3,634,0.8857829232386961,0.16349925391398945,0.9915878023133545,0.05228097957794344,19,0.02996845425867508,0.2586750788643533,0.02050473186119874,0.7208201892744479
07_ccs,0.8,3,670,0.8655759203980098,0.16406018518739304,0.9930348258706468,0.05103808399296382,57,0.08507462686567165,0.3044776119402985,0.08656716417910448,0.608955223880597
08_ccs,0.8,3,659,0.8630753667172484,0.20902190345593652,0.9534648457258473,0.1318815099334975,31,0.04704097116843703,0.24582701062215478,0.04400606980273141,0.7101669195751138
