ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=4, tag=unk, subject=uccs_d3_scan70
144991,4908,56600,277.8,TXSD_UCCS_D3_SCAN70_v1
145001,4760,145600,693.1,TXSD_UCCS_D3_SCAN70_v1
145011,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
145021,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
145031,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
145041,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145051,4908,55800,273.9,TXSD_UCCS_D3_SCAN70_v1
145061,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145071,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
145081,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145091,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
145101,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145111,4848,158700,769.4,TXSD_UCCS_D3_SCAN70_v1
145121,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145131,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
145141,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145151,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
145161,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
145171,4908,56300,276.3,TXSD_UCCS_D3_SCAN70_v1
145181,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
145191,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
145201,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
145211,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145221,4720,141900,669.8,TXSD_UCCS_D3_SCAN70_v1
145231,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145241,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
145251,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145261,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
145271,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145281,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
145291,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145301,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
145311,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
145321,4908,56300,276.3,TXSD_UCCS_D3_SCAN70_v1
145331,4740,174400,826.7,TXSD_UCCS_D3_SCAN70_v1
145341,4908,56400,276.8,TXSD_UCCS_D3_SCAN70_v1
