ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
170331,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170341,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170351,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170361,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170371,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170382,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170391,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170401,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170411,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170421,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170431,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170441,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170451,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170461,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170471,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170481,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
170491,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170501,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
170511,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170521,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170531,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170541,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170551,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170561,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170571,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170581,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170591,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170601,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170611,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170621,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170631,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
170641,4916,56200,276.3,TXSD_UCCS_D3_SCAN70_v1
170651,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170661,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
170671,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170681,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170691,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
170701,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170711,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170721,4908,55300,271.4,TXSD_UCCS_D3_SCAN70_v1
170731,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170741,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170751,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170761,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170771,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170781,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170791,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
170801,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170811,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170821,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
170831,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170841,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170851,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170861,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170871,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
170881,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170891,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170901,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
170911,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170921,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170931,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170941,4912,65900,323.7,TXSD_UCCS_D3_SCAN70_v1
170951,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170961,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
